"Date (TU)","Valeur (en m³/s)","Statut","Qualification","Méthode","Continuité"
2021-12-20T00:00:00.000Z,"340","16",20,8,0
2021-12-21T00:00:00.000Z,"303","16",20,8,0
2021-12-22T00:00:00.000Z,"294","16",20,8,0
2021-12-23T00:00:00.000Z,"283","16",20,8,0
2021-12-24T00:00:00.000Z,"265","16",20,8,0
2021-12-25T00:00:00.000Z,"286","16",20,8,0
2021-12-26T00:00:00.000Z,"300","16",20,8,0
2021-12-27T00:00:00.000Z,"341","16",20,8,0
2021-12-28T00:00:00.000Z,"440","16",20,8,0
2021-12-29T00:00:00.000Z,"542","16",20,8,0
2021-12-30T00:00:00.000Z,"637","16",20,8,0
2021-12-31T00:00:00.000Z,"691","16",20,8,0
2022-01-01T00:00:00.000Z,"681","16",20,8,0
2022-01-02T00:00:00.000Z,"613","16",20,8,0
2022-01-03T00:00:00.000Z,"600","16",20,8,0
2022-01-04T00:00:00.000Z,"675","16",20,8,0
2022-01-05T00:00:00.000Z,"791","16",20,8,0
2022-01-06T00:00:00.000Z,"816","16",20,8,0
2022-01-07T00:00:00.000Z,"726","16",20,8,0
2022-01-08T00:00:00.000Z,"685","16",20,8,0
2022-01-09T00:00:00.000Z,"798","16",20,8,0
2022-01-10T00:00:00.000Z,"941","16",20,8,0
2022-01-11T00:00:00.000Z,"964","16",20,8,0
2022-01-12T00:00:00.000Z,"923","16",20,8,0
2022-01-13T00:00:00.000Z,"825","16",20,8,0
2022-01-14T00:00:00.000Z,"782","16",20,8,0
2022-01-15T00:00:00.000Z,"766","16",20,8,0
2022-01-16T00:00:00.000Z,"754","16",20,8,0
2022-01-17T00:00:00.000Z,"722","16",20,8,0
2022-01-18T00:00:00.000Z,"683","16",20,8,0
2022-01-19T00:00:00.000Z,"634","16",20,8,0
2022-01-20T00:00:00.000Z,"570","16",20,8,0
2022-01-21T00:00:00.000Z,"517","16",20,8,0
2022-01-22T00:00:00.000Z,"492","16",20,8,0
2022-01-23T00:00:00.000Z,"487","16",20,8,0
2022-01-24T00:00:00.000Z,"451","16",20,8,0
2022-01-25T00:00:00.000Z,"385","16",20,8,0
2022-01-26T00:00:00.000Z,"372","16",20,8,0
2022-01-27T00:00:00.000Z,"341","16",20,10,0
2022-01-28T00:00:00.000Z,"319","16",20,10,0
2022-01-29T00:00:00.000Z,"311","16",20,10,0
2022-01-30T00:00:00.000Z,"308","16",20,10,0
