site,date,variable,value
river,2022-08-16,temperature,17.485714285714288
river,2022-08-17,temperature,17.3
river,2022-08-18,temperature,17.228571428571428
river,2022-08-19,temperature,17.15714285714286
river,2022-08-20,temperature,17.085714285714285
river,2022-08-21,temperature,17.014285714285716
river,2022-08-22,temperature,16.942857142857143
river,2022-08-23,temperature,16.871428571428574
river,2022-08-24,temperature,16.8
river,2022-08-25,temperature,16.728571428571428
river,2022-08-26,temperature,16.65714285714286
river,2022-08-27,temperature,16.585714285714285
river,2022-08-28,temperature,16.514285714285716
river,2022-08-29,temperature,16.442857142857143
river,2022-08-30,temperature,16.371428571428574
river,2022-08-31,temperature,16.3
river,2022-09-01,temperature,16.2
river,2022-09-02,temperature,16.1
river,2022-09-03,temperature,16.0
river,2022-09-04,temperature,15.9
river,2022-09-05,temperature,15.799999999999999
river,2022-09-06,temperature,15.7
river,2022-09-07,temperature,15.7625
river,2022-09-08,temperature,15.825
river,2022-09-09,temperature,15.8875
river,2022-09-10,temperature,15.95
river,2022-09-11,temperature,16.0125
river,2022-09-12,temperature,16.075
river,2022-09-13,temperature,16.1375
river,2022-09-14,temperature,16.2
river,2022-09-15,temperature,16.04285714285714
river,2022-09-16,temperature,15.885714285714284
river,2022-09-17,temperature,15.728571428571428
river,2022-09-18,temperature,15.571428571428571
river,2022-09-19,temperature,15.414285714285715
river,2022-09-20,temperature,15.257142857142856
river,2022-09-21,temperature,15.1
river,2022-09-22,temperature,14.77142857142857
river,2022-09-23,temperature,14.442857142857143
river,2022-09-24,temperature,14.114285714285714
river,2022-09-25,temperature,13.785714285714286
river,2022-09-26,temperature,13.457142857142857
river,2022-09-27,temperature,13.12857142857143
river,2022-09-28,temperature,12.8
river,2022-09-29,temperature,12.957142857142857
river,2022-09-30,temperature,13.114285714285716
river,2022-10-01,temperature,13.271428571428572
river,2022-10-02,temperature,13.428571428571429
river,2022-10-03,temperature,13.585714285714285
river,2022-10-04,temperature,13.742857142857144
river,2022-10-05,temperature,13.9
river,2022-10-06,temperature,13.8
river,2022-10-07,temperature,13.7
river,2022-10-08,temperature,13.6
river,2022-10-09,temperature,13.5
river,2022-10-10,temperature,13.4
river,2022-10-11,temperature,13.299999999999999
